CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.4,-7.4,127.6,127.6,SUBAERIAL,,,s 8734 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126246
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.4,-7.4,127.6,127.6,SUBAERIAL,,,s 8802 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126247
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.4,-7.4,127.6,127.6,SUBAERIAL,,,s 8803 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126248
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.4,-7.4,127.6,127.6,SUBAERIAL,,,s 8804 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126249
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.4,-7.4,127.6,127.6,SUBAERIAL,,,s 8805 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126250
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.4,-7.4,127.6,127.6,SUBAERIAL,,,s 8806 [3083],NOT GIVEN [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126251
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.4,-7.4,127.6,127.6,SUBAERIAL,,,s 8809 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126252
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,,-7.8,-7.8,126.3,126.3,SUBAERIAL,,,s 8736 [3083],BASALT [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126253
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,,-7.8,-7.8,126.3,126.3,SUBAERIAL,,,s 8737 [3083],BASALT [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126254
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,,-7.8,-7.8,126.3,126.3,SUBAERIAL,,,s 8738 [3083],RHYOLITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126255
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,,-7.8,-7.8,126.3,126.3,SUBAERIAL,,,s 8794 [3083],BASALT [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126256
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,,-7.8,-7.8,126.3,126.3,SUBAERIAL,,,s 8796 [3083],BASALT [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126257
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,,-7.8,-7.8,126.3,126.3,SUBAERIAL,,,s 8797 [3083],BASALT [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126258
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,,-7.8,-7.8,126.3,126.3,SUBAERIAL,,,s 8798 [3083],ANDESITE [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126259
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,,-7.8,-7.8,126.3,126.3,SUBAERIAL,,,s 8799 [3083],GRANITE [3083],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126260
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,,-7.8,-7.8,126.3,126.3,SUBAERIAL,,,s 8800 [3083],BASALT [3083],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126261
[3083],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / WETAR / BANDA SEA / PACIFIC OCEAN,,-7.8,-7.8,126.3,126.3,SUBAERIAL,,,s 8801 [3083],GABBRO [3083],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [3083] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126262
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,DILI REGION,-8.55,-8.55,125.57,125.57,SUBAERIAL,,,s 1 [3733],AMPHIBOLITE [3733],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3733] ,48.07,1.72,,14.47,,2.19,8.24,,9.39,11.56,0.18,,0.23,3.45,0.32,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,389,32,133,19,,,,,,,,,,,,,,11.52,24.73,2.98,12.92,3.4,1.37,3.76,,3.91,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128373
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,DILI REGION,-8.55,-8.55,125.57,125.57,SUBAERIAL,,,s 2 [3733],AMPHIBOLITE [3733],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3733] ,46.3,1.63,,16.65,,2.26,8.69,,11.94,9.42,0.18,,0.42,1.96,0.2,,,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,423,26,88,8,,,,,,,,,,,,,,6.92,16.71,,,2.33,0.63,3.44,,3.31,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128374
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,DILI REGION,-8.55,-8.55,125.57,125.57,SUBAERIAL,,,s 3 [3733],AMPHIBOLITE [3733],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3733] ,48.2,1.41,,17.16,,3.53,7.16,,10.47,7.34,0.14,,0.27,3.46,0.21,,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,386,26,110,11,,,,,,,,,,,,,,9.09,19.84,2.68,11.73,3.39,1.52,3.69,,3.75,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128375
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,DILI REGION,-8.55,-8.55,125.57,125.57,SUBAERIAL,,,s 4 [3733],AMPHIBOLITE [3733],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3733] ,49.45,2.34,,13.83,,2.28,11.82,,8.75,8.01,0.23,,0.15,2.82,0.27,,,,,,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,259,43,124,12,,,,,,,,,,,,,,9.93,22.4,2.82,13.97,3.84,1.41,4.74,,4.98,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128376
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,DILI REGION,-8.55,-8.55,125.57,125.57,SUBAERIAL,,,s 5 [3733],DOLERITE [3733],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [3733] ,46.95,1.51,,15.98,,2.82,10.41,,9.1,10.42,0.21,,0.22,2.18,0.16,,,,,,,,,,,,,,,,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,387,20,43,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128377
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,DILI REGION,-8.55,-8.55,125.57,125.57,SUBAERIAL,,,s 6 [3733],DOLERITE [3733],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [3733] ,46.81,4.74,,11.06,,8.68,12.09,,7.22,5.06,0.39,,0.89,2.76,0.41,,,,,,,,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,157,56,164,23,,,,,,,,,,,,,,12.22,28.73,3.66,18.89,5.11,1.86,6.54,,7.06,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128378
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,DILI REGION,-8.55,-8.55,125.57,125.57,SUBAERIAL,,,s 7 [3733],DOLERITE [3733],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [3733] ,46.43,2.55,,14.04,,4.59,11.73,,10.44,6.86,0.25,,0.11,2.67,0.28,,,,,,,,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,232,40,99,14,,,,,,,,,,,,,,10.23,,,15.1,3.69,1.66,4.56,,4.87,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128379
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,DILI REGION,-8.55,-8.55,125.57,125.57,SUBAERIAL,,,s 8 [3733],DOLERITE [3733],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [3733] ,50.02,4.39,,12.04,,9.31,8.54,,7.39,3.52,0.34,,0.38,3.62,0.42,,,,,,,,,,,,,,,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,47,62,215,29,,,,,,,,,,,,,,18.55,,,21.12,4.81,1.1,5.48,,6.01,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128380
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,DILI REGION,-8.55,-8.55,125.57,125.57,SUBAERIAL,,,s 9 [3733],DOLERITE [3733],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [3733] ,48.67,1.88,,15.06,,2.36,11.92,,6.72,7.42,0.25,,0.13,4.37,0.59,,,,,,,,,,,,,,,,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,225,52,134,16,,,,,,,,,,,,,,13.13,,,19.9,4.77,1.42,6.21,,5.58,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128381
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,ATSABE REGION,-8.92,-8.92,125.4,125.4,SUBAERIAL,,,s 10 [3733],HAWAIITE [3733],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3733] ,49.82,2.97,,14.09,,4.57,7.42,,9.88,3.35,0.27,,1.64,4.16,1.37,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,382,57,333,67,,,,,,,,,,,,,,36.51,79.22,,36.14,7.04,2.51,6.23,,4.92,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128382
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,ATSABE REGION,-8.92,-8.92,125.4,125.4,SUBAERIAL,,,s 11 [3733],"BASALT, ALKALINE [3733]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3733] ,47.24,4.42,,13.85,,5,9.49,,8.01,6.38,0.25,,0.58,4.13,0.53,,,,,,,,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,363,37,260,45,,,,,,,,,,,,,,29.18,65.36,7.26,31.64,6.8,2.05,6.16,,4,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128383
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,ATSABE REGION,-8.92,-8.92,125.4,125.4,SUBAERIAL,,,s 12 [3733],"BASALT, ALKALINE [3733]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3733] ,53.63,2.01,,18.45,,2.21,6.54,,4.41,2.59,0.19,,1.47,6.59,1.37,,,,,,,,,,,,,,,,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,234,49,677,148,,,,,,,,,,,,,,103.89,204.78,19.57,73.63,11.07,2.82,8.15,,4.53,,2.34,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128384
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,ATSABE REGION,-8.92,-8.92,125.4,125.4,SUBAERIAL,,,s 13 [3733],HAWAIITE [3733],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3733] ,49.83,3.15,,17.15,,1.46,8.17,,6.32,4.58,0.3,,0.54,5.36,1.08,,,,,,,,,,,,,,,,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,243,41,426,129,,,,,,,,,,,,,,67.34,140.48,14.19,57.7,10.1,2.9,7.67,,4.02,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128385
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,ATSABE REGION,-8.92,-8.92,125.4,125.4,SUBAERIAL,,,s 14 [3733],"BASALT, ALKALINE [3733]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3733] ,46.13,5.86,,13.92,,4.23,10.7,,6.88,6.52,0.22,,0.06,3.94,0.79,,,,,,,,,,,,,,,,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,284,41,297,66,,,,,,,,,,,,,,41.2,107.32,,59.27,12.5,4,12.15,,7.54,,4.31,,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128386
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,CRIBAS REGION,-8.67,-8.67,125.97,125.97,SUBAERIAL,,,s 15 [3733],BASALT [3733],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [3733] ,51.06,1.24,,15.68,,2.03,7.27,,10.95,8.34,0.22,,0.13,2.93,0.13,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,125,33,81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128387
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,CRIBAS REGION,-8.67,-8.67,125.97,125.97,SUBAERIAL,,,s 16 [3733],BASALT [3733],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [3733] ,51.02,1.03,,15.74,,4.59,4.04,,12.46,6.86,0.15,,0.69,3.37,0.11,,,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,190,27,67,3,,,,,,,,,,,,,,2.72,,,5.83,1.31,,2.08,,2.26,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128388
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,CRIBAS REGION,-8.67,-8.67,125.97,125.97,SUBAERIAL,,,s 17 [3733],BASALT [3733],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [3733] ,45.5,3.62,,16.96,,7.33,5.42,,8.2,5.46,0.16,,1.7,4.62,0.73,,,,,,,,,,,,,,,,9.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,139,36,252,75,,,,,,,,,,,,,,35.57,76.8,7.59,31.21,6.07,2.19,5.58,,4.55,,2.16,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128389
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,CRIBAS REGION,-8.67,-8.67,125.97,125.97,SUBAERIAL,,,s 18 [3733],BASALT [3733],,,,,,,,MEDIUM-GRAINED OPHITIC [3733] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [3733] ,47.13,2.46,,17.38,,3.79,6.8,,8.73,8.68,0.16,,0.65,3.44,0.28,,,,,,,,,,,,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,505,22,127,22,,,,,,,,,,,,,,11.02,,,14.16,3.37,1.59,3.49,,2.98,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128390
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,CRIBAS REGION,-8.67,-8.67,125.97,125.97,SUBAERIAL,,,s 19 [3733],BASALT [3733],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [3733] ,45.78,3.97,,13.92,,10.23,2.67,,9.62,5.75,0.28,,2.24,4.24,0.65,,,,,,,,,,,,,,,,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,254,38,250,45,,,,,,,,,,,,,,17.39,,,25.74,6.05,1.96,6.35,,5.83,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128391
[3733],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TIMOR / AILEU FORMATION / TIMOR SEA / INDIAN OCEAN,"MAUBISSE REGION, ALONG ROAD TO HATO BUILICO",-8.83,-8.83,125.6,125.6,SUBAERIAL,,,s 20 [3733],BASALT [3733],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3733] ,47.59,1.78,,17,,4.02,7.32,,11.23,7.05,0.17,,0.23,2.91,0.27,,,,,,,,,,,,,,,,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,491,32,115,25,,,,,,,,,,,,,,7.5,19.85,,16.48,4.53,1.54,5.85,,4.93,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128392
